Nome completo,Data de nascimento,Email,CPF
RAFAEL BARBOZA,26/12/1987,r_barboza@hotmail.com,27232915616
brás neto,04/10/1990,bneto@hotmail.com,56957550001
xerxes nóbrega,17/12/1991,xerxes_n@gmail.com,12333062860
BALDUÍNO GUARANÁ,28/10/1977,balduino_guarana@yahoo.fr,53004007185
Hélio Pontes,09/02/1994,helio.p@gmail.com,65289944982
Vanderlei Cyrne,27/04/1976,vanderlei.c@charter.net,80889805423
Urbano Lozada,14/06/2000,u_lozada@gmail.com,40002408708
ROSELI CARLOS,20/06/1974,carlos@gmail.com,74415035310
Gerusa Teixeira,08/06/1990,gerusa.t@gmail.com,92226725857
gustavo jaguariúna,25/06/1991,gustavo_jaguariuna@hotmail.com,53653496799
VALÉRIO PAIXÃO,10/10/1979,paixao@hotmail.com,62675387967
AURÉLIA CASTRO,31/07/1973,a.castro@gmail.com,59156632657
Basilio Villas Bôas,26/04/1988,basilio.villasboas_88@verizon.net,86093627527
BALDUÍNO GARCIA DE GONDIM,06/08/1993,balduino.g@gmail.com,35341555309
abigail jordán,12/10/1972,jordan@gmail.com,07367825917
Donata Lamego,02/09/1993,donata_lamego@gmail.com,13926421916
Máxima Rodrigues,24/11/2000,maxima_rodrigues00@hotmail.fr,61259329151
VÍTOR TAMOIO,22/06/1993,v_tamoio@aol.com,86283308449
álvaro baranda,31/08/1973,a_baranda@yahoo.com,68144781961
lino lisboa,09/09/1976,lino_lisboa@hotmail.co.uk,30511861982
selma toledo,17/06/1997,selma_toledo_97@hotmail.com,57156256459
PARAGUAÇU COVINHA,28/11/1970,paraguacuc@orange.fr,99909518457
Amélia Moreyra,08/04/1995,ameliamoreyra@libero.it,94980800467
Teodoro Leiria,15/11/2001,t_leiria@gmail.com,64033052550
FLORINDA BENEVIDES,25/01/2001,florinda.benevides@hotmail.com,01596907223
RAFAELA ÁLVEZ,05/12/1962,r.alvez@gmail.com,08931870035
Marco Ornellas,09/01/1961,marcoornellas.61@yahoo.com,67202341298
Adriano Passarinho,30/01/1976,adrianop@hotmail.com,44074366207
rómulo rebello,06/02/1990,romulorebello@gmail.com,73776414103
HÉLIA GAMEIRO,16/08/1970,h.gameiro@free.fr,21504105915
Miriam Milheirão,25/08/1970,miriam_milheirao_70@gmail.com,59177500504
Trajano Gameiro,30/10/1986,trajanogameiro@gmail.com,60904257371
IRANI LACERDA,10/11/1993,irani.l@hotmail.com,05628533912
felisbela cotegipe,07/10/1990,felisbela_cotegipe@yahoo.com,39378218130
Custódio Rangel,31/10/1979,custodior@gmail.com,42114378101
Beatriz Vides,20/01/1997,beatriz_v@uol.com.br,63928351648
HÉLIA PÉREZ,05/08/1995,helia.p@gmail.com,01501523295
hélia lago,14/06/1997,helialago@gmail.com,58433555600
Graça Portela,21/04/1985,portela@alice.it,68028525784
Adélia Mangueira,27/03/1984,adeliam@yahoo.fr,23125800200
Rute Salgado,11/06/1993,r.salgado@gmail.com,00633715700
Adélia Ilha,02/08/1964,a.ilha@gmail.com,22107594040
iberê peralta,02/02/1993,ibereperalta@gmail.com,97421248099
lívia bethecourt,01/04/1998,bethecourt@gmail.com,62867473381
ISAURA MARCONDES,07/03/1970,i_marcondes@hotmail.com,91955867178
MOACIR CRUZ,20/11/2001,cruz@hotmail.com,96312311279
Aarão Sucupira,21/03/1995,aarao.s@yahoo.com,77734125700
