Nome completo,Data de nascimento,Email,CPF
JOEL PIMENTA,05/10/1978,joel_pimenta@yahoo.com,31276400560
ESTÊVÃO MURTINHO,06/03/1975,estevaomurtinho@yahoo.com.br,72925205372
FLORA TALHÃO,20/08/1981,f_talhao@gmail.com,23680177631
ramiro olaio,09/03/1983,ramiro.olaio@yahoo.com,12858906980
Diana Tomé,22/09/1972,diana_t@gmail.com,51098400836
ZULEIDE HIERRO,07/11/2000,zuleidehierro_00@hotmail.com,92966492341
MIRIAM MORALES,10/08/1983,mmorales@yahoo.com,82350229823
amália castilho,02/08/1978,amalia.castilho_78@hotmail.com,80806297140
BELCHIOR VENTURA,27/12/1994,belchior_ventura_94@gmail.com,92490006851
flamínia chousa,15/06/1992,flaminia_chousa.92@uol.com.br,79138938502
lília dias,18/01/1996,dias@gmail.com,91037152484
TÉRCIO PARI,29/07/1995,terciopari@gmail.com,99505437897
INAIÁ CARROMEU,03/07/1991,inaia.c@hotmail.com,41294159801
emiliana pais,05/09/1983,emiliana_p@gmail.com,38858790774
IRACEMA PIMENTA,14/03/1983,iracema.p@gmail.com,07117048301
Girão Azenha,13/02/1989,giraoa@hotmail.com,59556765891
LEONOR VILLANUEVA,28/10/1990,villanueva@gmail.com,48750289896
inês alencastre,14/01/1980,ines.a@aol.com,37002117912
HÉLDER ALENCAR,12/07/1975,helder_alencar@yahoo.com,76208089905
judas pinho,29/07/1962,judaspinho@aol.com,21390418286
FABÍOLA GIRÓN,05/04/1972,fabiola_giron72@gmail.com,17798174877
