Nome completo,Data de nascimento,Email,CPF
guilhermina mayor,08/05/1993,guilhermina_mayor@sfr.fr,60704591219
FREDERICA VILLELA,07/01/1970,f.villela@gmail.com,43653989973
CELESTINO ONOFRE,12/07/2003,celestinoonofre@yahoo.com,06758596206
Hedviges Bandeira,18/04/1991,h.bandeira@outlook.com,84923942932
EUGÉNIA FIGUEIRA,12/08/1977,eugeniafigueira.77@gmail.com,28543064147
HÉLDER BESERRIL,28/08/1978,h.beserril@free.fr,03957735122
EZEQUIEL VALLE,02/05/1980,ezequiel_valle@yahoo.fr,64600004256
ELIAS ESTEVES,03/11/1987,elias_e@gmail.com,72673341218
DUARTE MAGALHÃES,07/05/1997,duarte.magalhaes.97@gmail.com,37500656408
IVA JORGE,21/09/2002,ivajorge02@juno.com,08585503343
garibaldo rebimbas,15/11/1989,g.rebimbas@yahoo.fr,90068158378
ARARIBÓIA LEITE,01/05/1994,leite@orange.fr,39666795230
gerardo hilário,28/01/1983,gerardo_hilario@yahoo.co.uk,10590883399
Tália Nobre,06/09/1989,talian@yahoo.com,52815896605
