Nome completo,Data de nascimento,Email,CPF
Célia Varão,23/05/1989,celia_varao@gmail.com,62647786640
FABÍOLA PAES,29/08/1968,fabiola.paes_68@hotmail.com,10950496740
Guiomar Inês,04/06/1984,g_ines@hotmail.com,95749140890
Rodrigo Vilela,05/03/1970,r_vilela@gmail.com,50578342154
raoni casado,25/09/1999,raoni.c@yahoo.com,37935514232
APUÃ NORÕES,13/02/1983,apua.n@yahoo.co.in,61982876026
Soraia Mirandela,22/08/1978,mirandela@gmail.com,22645749410
inaiá furquim,02/11/1983,i_furquim@hotmail.fr,39257914852
VICENTE PORTO,09/12/1977,vicente_p@hotmail.it,82065578653
RUBIM FRANCA,01/09/1994,rubim.f@hotmail.com,44736172460
Ibijara Bautista,30/04/2003,i.bautista@yahoo.com,09671132618
Sílvia Themes,18/11/1999,sthemes@gmail.com,94365938053
Palo Rosário,02/06/1994,palo.rosario94@hotmail.com,60110522079
BRÁS CINTRA,07/04/1988,bras_cintra_88@gmail.com,96551118143
timóteo coelho,23/05/1973,timoteocoelho@gmail.com,72045767990
Margarida Miranda,18/08/1965,margaridamiranda.65@hotmail.com,82330981910
FABIANO SANT'ANNA,14/05/1988,fabianos@gmail.com,96683182426
Fábio Varella,20/02/1973,fabio_varella@gmail.com,51998970710
Luís Capiperibe,30/06/1975,capiperibe@yahoo.com,05111965556
adolfo dias,04/04/1981,adolfo.d@shaw.ca,38749295667
flávio mattos,21/12/1989,flavio.m@yahoo.com,62283258766
cândido fartaria,04/03/2001,candido_f@gmail.com,90811893103
DANILO ESTRADA,21/06/1981,d_estrada@yahoo.ca,17388609490
Rômulo Malta,26/02/1990,malta@live.com,95847597010
moaci frois,21/07/1990,m.frois@gmail.com,16970301575
Zoraide Isla,23/10/1965,zoraideisla.65@gmail.com,59446740835
VIRGÍNIA GOUVEIA,21/05/1962,virginia_gouveia@aol.com,18757086346
rómulo passarinho,19/06/1994,passarinho@gmail.com,72407413032
francisco oiticica,20/07/1982,f_oiticica@hotmail.com,78094212470
ROBERTO ALVIM,09/07/1990,roberto.a@gmail.com,48321271600
Aldonça Ferraço,23/12/1996,a.ferraco@gmail.com,68080513139
